15:52:04.942 -> Humidity: 24.00 %, Temp: 25.70 Celsius
15:52:06.940 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:08.954 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:10.955 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:12.944 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:14.962 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:16.979 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:18.969 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:20.982 -> Humidity: 24.10 %, Temp: 25.70 Celsius
15:52:22.998 -> Humidity: 24.10 %, Temp: 25.70 Celsius
15:52:24.989 -> Humidity: 24.10 %, Temp: 25.70 Celsius
15:52:27.004 -> Humidity: 24.40 %, Temp: 25.70 Celsius
15:52:28.987 -> Humidity: 24.40 %, Temp: 25.70 Celsius
15:52:31.020 -> Humidity: 24.30 %, Temp: 25.70 Celsius
15:52:32.997 -> Humidity: 24.30 %, Temp: 25.70 Celsius
15:52:35.012 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:37.031 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:39.038 -> Humidity: 24.20 %, Temp: 25.70 Celsius
15:52:41.021 -> Humidity: 24.10 %, Temp: 25.70 Celsius
15:52:43.047 -> Humidity: 24.10 %, Temp: 25.80 Celsius
15:52:45.046 -> Humidity: 24.00 %, Temp: 25.70 Celsius
15:52:47.057 -> Humidity: 24.10 %, Temp: 25.80 Celsius
15:52:49.058 -> Humidity: 24.10 %, Temp: 25.80 Celsius
15:52:51.039 -> Humidity: 24.10 %, Temp: 25.80 Celsius
15:52:53.065 -> Humidity: 24.00 %, Temp: 25.80 Celsius
15:52:55.056 -> Humidity: 24.00 %, Temp: 25.80 Celsius
15:52:57.074 -> Humidity: 24.00 %, Temp: 25.80 Celsius
15:52:59.085 -> Humidity: 24.00 %, Temp: 25.80 Celsius
15:53:01.085 -> Humidity: 24.00 %, Temp: 25.80 Celsius
15:53:03.099 -> Humidity: 24.00 %, Temp: 25.80 Celsius
15:53:05.073 -> Humidity: 23.90 %, Temp: 25.80 Celsius
15:53:07.105 -> Humidity: 23.90 %, Temp: 25.80 Celsius
15:53:09.090 -> Humidity: 23.90 %, Temp: 25.80 Celsius
15:53:11.122 -> Humidity: 23.90 %, Temp: 25.80 Celsius
15:53:13.117 -> Humidity: 23.90 %, Temp: 25.80 Celsius
15:53:15.115 -> Humidity: 23.90 %, Temp: 25.80 Celsius
15:53:17.109 -> Humidity: 23.80 %, Temp: 25.80 Celsius
15:53:19.136 -> Humidity: 23.80 %, Temp: 25.80 Celsius
15:53:21.146 -> Humidity: 23.80 %, Temp: 25.80 Celsius
15:53:23.138 -> Humidity: 23.80 %, Temp: 25.80 Celsius
15:53:25.127 -> Humidity: 23.80 %, Temp: 25.80 Celsius
